lat,lon,year,wheat_type,yield_wheat,temperature,precipitation,soil_water,solar_radiation,potential_evaporation,temperature_Jan,temperature_Feb,temperature_Mar,temperature_Apr,temperature_May,temperature_Jun,temperature_Jul,temperature_Nov,temperature_Dec,precipitation_Jan,precipitation_Feb,precipitation_Mar,precipitation_Apr,precipitation_May,precipitation_Jun,precipitation_Jul,precipitation_Nov,precipitation_Dec,soil_water_Jan,soil_water_Feb,soil_water_Mar,soil_water_Apr,soil_water_May,soil_water_Jun,soil_water_Jul,soil_water_Nov,soil_water_Dec,solar_radiation_Jan,solar_radiation_Feb,solar_radiation_Mar,solar_radiation_Apr,solar_radiation_May,solar_radiation_Jun,solar_radiation_Jul,solar_radiation_Nov,solar_radiation_Dec,potential_evaporation_Jan,potential_evaporation_Feb,potential_evaporation_Mar,potential_evaporation_Apr,potential_evaporation_May,potential_evaporation_Jun,potential_evaporation_Jul,potential_evaporation_Nov,potential_evaporation_Dec
43.75,11.75,1982,spring,3.5484276,13.585408522412669,421.164181470871,0.3229864011792576,2498301382.0,860.3112211227417,,,4.352599,8.544469,13.980589,19.408058,21.666544,,,,,141.63763284683228,55.31566500663757,96.10426902770996,45.96104621887207,82.14556837081909,,,,,0.39825135,0.3619464,0.33381897,0.2607428,0.25942138,,,,,333000574.0,434446980.0,560770780.0,588179940.0,581903108.0,,,,,93.16208410263062,136.06311321258545,183.46514654159543,222.3779582977295,225.24291896820068,,
43.75,11.75,1982,winter,3.3040295,7.608455725937835,665.699315071106,0.3579608363307212,2577847493.25,795.337813615799,3.1355748,2.029298,4.352599,8.544469,13.980589,19.408058,,5.4185653,3.7987587,68.99714040756226,39.49316692352295,141.63763284683228,55.31566500663757,96.10426902770996,45.96104621887207,,17.381569147109985,200.8088254928589,0.38362306,0.36613467,0.39825135,0.3619464,0.33381897,0.2607428,,0.35429627,0.40253845,139033000.5,214721024.0,333000574.0,434446980.0,560770780.0,588179940.0,,189606360.0,118088834.75,31.102353930473328,49.52126693725586,93.16208410263062,136.06311321258545,183.46514654159543,222.3779582977295,,48.147010803222656,31.49887979030609
43.75,11.75,1983,spring,3.5303423,14.313562704846747,374.3622233271599,0.311125083881266,2529995794.0,913.1037254333496,,,6.7225523,10.033265,13.748136,17.525047,23.504335,,,,,159.52843618392944,78.06515693664551,65.59420204162598,57.98296809196472,13.191460072994232,,,,,0.38466612,0.3706531,0.31335083,0.28632325,0.20175233,,,,,338360784.0,456904800.0,533418054.0,565872420.0,635439736.0,,,,,94.4944257736206,148.92216682434082,188.23775100708008,207.7396059036255,273.7097759246826,,
43.75,11.75,1983,winter,3.028015,8.206546059324722,796.1982203722,0.3637573284304831,2509024930.75,788.8198504447937,3.5031338,0.9856555,6.7225523,10.033265,13.748136,17.525047,,8.233742,4.562442,27.314685702323917,107.69235801696776,159.52843618392944,78.06515693664551,65.59420204162598,57.98296809196472,,154.02365684509277,145.9967565536499,0.373797,0.3964734,0.38466612,0.3706531,0.31335083,0.28632325,,0.38271117,0.40358582,166781240.0,185577686.0,338360784.0,456904800.0,533418054.0,565872420.0,,152781030.0,109328916.75,34.91763114929199,46.14173030853272,94.4944257736206,148.92216682434082,188.23775100708008,207.7396059036255,,40.26612281799317,28.10041666030884
43.75,11.75,1984,spring,4.7627163,11.983089880226483,551.3672618865967,0.3508744712164199,2387843878.0,812.2670340538025,,,3.8413196,8.276233,11.1507845,16.310707,20.35643,,,,,126.61353778839111,139.2652702331543,195.19806957244876,63.81376504898071,26.476619243621823,,,,,0.39814574,0.38616824,0.39921325,0.3465411,0.22530274,,,,,307409640.0,417262260.0,433363136.0,574408020.0,655400822.0,,,,,87.2834939956665,127.9932689666748,138.00816106796265,196.61029815673828,262.37181186676025,,
43.75,11.75,1984,winter,3.5288105,6.659348317134527,861.9617562294006,0.3763853500409381,2392477957.0,739.478399515152,2.8807228,1.5366027,3.8413196,8.276233,11.1507845,16.310707,,5.940511,3.3477097,113.93363118171692,89.4234402179718,126.61353778839111,139.2652702331543,195.19806957244876,63.81376504898071,,23.474221229553223,110.23982095718384,0.38802248,0.38460755,0.39814574,0.38616824,0.39921325,0.3465411,,0.33701354,0.36998415,158792199.0,191895407.0,307409640.0,417262260.0,433363136.0,574408020.0,,179040810.0,130306485.0,39.20829594135285,62.644524335861206,87.2834939956665,127.9932689666748,138.00816106796265,196.61029815673828,,48.33008050918579,39.4002765417099
43.75,11.75,1985,spring,4.572241,13.683426205628836,376.2103589177132,0.3277675389659171,2454247552.0,887.3875613212585,,,5.4348254,9.643123,13.611876,17.219692,22.491356,,,,,140.22096014022827,63.43244791030884,102.64922952651978,47.3704719543457,22.537249386310577,,,,,0.40327454,0.36384946,0.35733765,0.30648744,0.20836608,,,,,305705167.0,474585540.0,484479997.0,544136580.0,645340268.0,,,,,87.08520889282227,171.0618495941162,153.50686025619507,201.31173133850095,274.421911239624,,
43.75,11.75,1985,winter,3.8002205,7.391914063248753,665.1582727432251,0.3711602564685601,2412290797.0,747.9217225909233,-1.5753992,2.4914343,5.4348254,9.643123,13.611876,17.219692,,8.203993,4.0473695,100.50861811637878,66.24317169189453,140.22096014022827,63.43244791030884,102.64922952651978,47.3704719543457,,74.69613790512085,70.03723549842834,0.3892389,0.38709655,0.40327454,0.36384946,0.35733765,0.30648744,,0.37984377,0.38165402,120284138.5,193410420.0,305705167.0,474585540.0,484479997.0,544136580.0,,169198635.0,120490319.5,18.24479043483734,44.38719749450684,87.08520889282227,171.0618495941162,153.50686025619507,201.31173133850095,,43.915207386016846,28.408877193927765
43.75,11.75,1986,spring,4.5064406,13.50178798974729,541.3195927143097,0.3577408882137997,2410163540.0,809.876608133316,,,5.4037123,9.393474,16.320515,16.645603,19.714523,,,,,104.37587237358092,151.6785764694214,56.05588150024414,132.98373699188232,96.22552537918092,,,,,0.39352906,0.3852472,0.32219055,0.36307496,0.32572204,,,,,305997714.0,394636260.0,591377638.0,542741460.0,575410468.0,,,,,88.70153403282166,126.62166595458984,198.9181547164917,181.8980884552002,213.73716497421265,,
43.75,11.75,1986,winter,3.6489942,7.817650667399414,885.7354927062988,0.3782551539830925,2388638860.5,726.1640328764915,2.5240588,0.14348754,5.4037123,9.393474,16.320515,16.645603,,6.218142,5.433561,112.6237654685974,116.72819900512695,104.37587237358092,151.6785764694214,56.05588150024414,132.98373699188232,,125.4658842086792,85.82357668876648,0.39570007,0.3982544,0.39352906,0.3852472,0.32219055,0.36307496,,0.3919696,0.3781891,150425097.5,137988172.0,305997714.0,394636260.0,591377638.0,542741460.0,,138032325.0,127440194.0,34.52786064147949,31.596601009368896,88.70153403282166,126.62166595458984,198.9181547164917,181.8980884552002,,40.38714051246643,23.512987554073334
